Drug ID,Drug Name,Generic Name,Drug Class,Indications,Dosage Form,Strength,Route of Administration,Mechanism of Action,Side Effects,Contraindications,Interactions,Warnings and Precautions,Pregnancy Category,Storage Conditions,Manufacturer,Approval Date,Availability,NDC,Price
1,Aspirin,Acetylsalicylic Acid,Analgesic,Headache,Tablet,325 mg,Oral,Inhibits prostaglandin synthesis,Stomach irritation,Allergy to NSAIDs,Anticoagulants: increased bleeding risk,Gastric ulcers: risk of bleeding,Category C,Room temperature,PharmaCorp,15-01-2022,OTC,12345678901,5.99
2,Amoxicillin,Amoxicillin,Antibiotic,Bacterial Infections,Capsule,500 mg,Oral,Inhibits bacterial cell wall synthesis,Nausea, Allergic reactions,Penicillin: reduced efficacy,Take with food to reduce stomach upset,Category B,Room temperature,MediPharm,20-11-2021,Prescription,23456789012,12.49
3,Lisinopril,Lisinopril,Antihypertensive,Hypertension,Tablet,10 mg,Oral,Blocks conversion of angiotensin I to angiotensin II,Cough, Kidney problems,Diuretics: increased risk of kidney problems,Monitor kidney function regularly,Category D,Room temperature,HealthMeds,05-03-2022,Prescription,34567890123,8.75
4,Albuterol,Albuterol,Bronchodilator,Asthma,Inhaler,100 mcg/inhalation,Inhalation,Stimulates beta-2 adrenergic receptors,Tremor, Rapid heart rate,Beta-blockers: decreased effectiveness,Use as needed for acute asthma symptoms,Category C,Room temperature,RespirePharma,10-08-2021,Prescription,45678901234,22.99
5,Omeprazole,Omeprazole,Proton Pump Inhibitor,Acid Reflux,Capsule,20 mg,Oral,Reduces stomach acid production,Headache, Abdominal pain,Clopidogrel: reduced effectiveness,Take before a meal,Category C,Room temperature,MediCare,30-05-2022,OTC,56789012345,6.25
6,Levothyroxine,Levothyroxine,Hormone,Thyroid Disorder,Tablet,50 mcg,Oral,Replaces or supplements thyroid hormone,Dizziness, Heart palpitations,Adrenal insufficiency: monitor carefully,Take on an empty stomach,Category A,Room temperature,EndoHealth,18-02-2022,Prescription,67890123456,9.99
7,Simvastatin,Simvastatin,Cholesterol-lowering,Hyperlipidemia,Tablet,20 mg,Oral,Inhibits cholesterol synthesis,Muscle pain, Liver problems,CYP3A4 inhibitors: increased risk of side effects,Avoid grapefruit juice,Category X,Room temperature,PharmaCare,05-10-2021,Prescription,78901234567,7.85
8,Metformin,Metformin,Oral Antidiabetic,Type 2 Diabetes,Tablet,1000 mg,Oral,Decreases glucose production by the liver,Diarrhea, Lactic acidosis,Kidney problems: avoid in severe impairment,Take with meals,Category B,Room temperature,DiabetesRx,22-04-2022,Prescription,89012345678,4.5
9,Ibuprofen,Ibuprofen,NSAID,Pain and Inflammation,Tablet,200 mg,Oral,Inhibits prostaglandin synthesis,Upset stomach, GI bleeding,Allergy to NSAIDs,Anticoagulants: increased bleeding risk,Category C,Room temperature,ReliefMeds,08-09-2021,OTC,90123456789,3.15
10,Ciprofloxacin,Ciprofloxacin,Fluoroquinolone,Bacterial Infections,Tablet,500 mg,Oral,Inhibits bacterial DNA synthesis,Nausea, Tendon rupture,Antacids: reduced effectiveness,Take 2 hours before or 6 hours after antacids,Category C,Room temperature,PharmaX,30-12-2021,Prescription,12345678902,18.75
11,Alprazolam,Alprazolam,Anxiolytic,Anxiety,Tablet,0.5 mg,Oral,Enhances effects of GABA in the brain,Drowsiness, Addiction history,Benzodiazepines: additive effects,Avoid alcohol,Category D,Room temperature,NeuroPharm,12-06-2022,Prescription,23456789023,14.99
12,Ranitidine,Ranitidine,H2 Blocker,Gastric Ulcers,Tablet,150 mg,Oral,Reduces stomach acid production,Headache, Constipation,Allergic reactions: avoid,Long-term use: increased risk of fractures,Category B,Room temperature,MediCure,05-04-2022,OTC,34567890134,5.5
13,Atorvastatin,Atorvastatin,Cholesterol-lowering,Hyperlipidemia,Tablet,40 mg,Oral,Inhibits cholesterol synthesis,Muscle pain, Liver problems,Strong CYP3A4 inhibitors: increased risk of side effects,Avoid grapefruit juice,Category X,Room temperature,PharmaWell,10-11-2021,Prescription,45678901245,9.25
14,Cephalexin,Cephalexin,Antibiotic,Bacterial Infections,Capsule,250 mg,Oral,Inhibits bacterial cell wall synthesis,Upset stomach, Allergic reactions,Allergy to cephalosporins,Probenecid: decreased excretion,Category B,Room temperature,HealthCure,05-02-2022,Prescription,56789012356,11.75
15,Paracetamol,Paracetamol,Analgesic,Pain and Fever,Tablet,500 mg,Oral,Precise mechanism not fully understood,None at normal doses, Liver damage,Alcohol: increased risk of liver damage,Do not exceed recommended dose,Category A,Room temperature,ReliefPharm,15-12-2021,OTC,67890123467,3.99
16,Morphine,Morphine,Analgesic,Severe Pain,Tablet,10 mg,Oral,Binds to opioid receptors in the brain,Respiratory depression, Constipation,Respiratory depression: avoid with respiratory disorders,May cause drowsiness,Category C,Room temperature,PainRelief,25-03-2022,Prescription,78901234501,15.5
17,Risperidone,Risperidone,Antipsychotic,Schizophrenia,Tablet,2 mg,Oral,Blocks dopamine and serotonin receptors,Weight gain, Tardive dyskinesia,Elderly with dementia: increased risk of death,May impair judgment,Category C,Room temperature,MentalWellness,05-09-2021,Prescription,89012345612,8.25
18,Sildenafil,Sildenafil,Erectile Dysfunction Agent,Erectile Dysfunction,Tablet,50 mg,Oral,Inhibits phosphodiesterase type 5,Headache, Flushing,Nitrates: severe hypotension risk,Do not take with grapefruit juice,Category B,Room temperature,PharmErect,08-05-2022,Prescription,90123456723,11.99
19,Furosemide,Furosemide,Loop Diuretic,Edema,Tablet,40 mg,Oral,Inhibits sodium and water reabsorption,Dehydration, Electrolyte imbalances,Dehydration: monitor closely,Take in the morning,Category C,Room temperature,DiureticCare,18-12-2021,Prescription,12345678934,6.5
20,Esomeprazole,Esomeprazole,Proton Pump Inhibitor,Acid Reflux,Capsule,40 mg,Oral,Reduces stomach acid production,Headache, Nausea,Clopidogrel: reduced effectiveness,Take before breakfast,Category B,Room temperature,MediDigest,30-06-2022,Prescription,23456789045,7.75
21,Warfarin,Warfarin,Anticoagulant,Thrombosis,Tablet,5 mg,Oral,Inhibits vitamin K-dependent clotting factors,Bleeding, Skin necrosis,Many drug interactions: monitor closely,Do not change diet drastically,Category X,Room temperature,ClotCare,12-03-2022,Prescription,34567890156,5.25
22,Tramadol,Tramadol,Analgesic,Moderate to Severe Pain,Tablet,100 mg,Oral,Binds to opioid receptors and inhibits serotonin reuptake,Constipation, Dizziness,Seizure risk: avoid in epilepsy,May cause drowsiness,Category C,Room temperature,PainEase,02-11-2021,Prescription,45678901267,9.5
23,Fluoxetine,Fluoxetine,Selective Serotonin Reuptake Inhibitor,Depression,Capsule,20 mg,Oral,Inhibits serotonin reuptake,Nausea, Insomnia,Monoamine oxidase inhibitors: serotonin syndrome risk,Avoid alcohol,Category C,Room temperature,EmotionCare,20-01-2022,Prescription,56789012378,4.99
24,Levofloxacin,Levofloxacin,Fluoroquinolone,Bacterial Infections,Tablet,250 mg,Oral,Inhibits bacterial DNA synthesis,Nausea, Tendon rupture,Antacids: reduced effectiveness,Take 2 hours before or 6 hours after antacids,Category C,Room temperature,MediSafe,14-08-2021,Prescription,67890123489,13.25
25,Lorazepam,Lorazepam,Anxiolytic,Anxiety,Tablet,1 mg,Oral,Enhances effects of GABA in the brain,Drowsiness, Addiction history,Benzodiazepines: additive effects,Avoid alcohol,Category D,Room temperature,RelaxWell,05-05-2022,Prescription,78901234590,6.75
26,Losartan,Losartan,Angiotensin II Receptor Blocker,Hypertension,Tablet,50 mg,Oral,Blocks angiotensin II receptors,Cough, Low blood pressure,Potassium supplements: increased potassium levels,Take with or without food,Category D,Room temperature,CardioPharm,10-02-2022,Prescription,89012345601,8.5
27,Amphetamine,Amphetamine,Stimulant,Attention Deficit Hyperactivity Disorder,Tablet,10 mg,Oral,Increases release of norepinephrine and dopamine,Insomnia, Increased heart rate,Hypertension: monitor regularly,May impair judgment,Category C,Room temperature,FocusMeds,25-10-2021,Prescription,90123456712,11.25
28,Citalopram,Citalopram,Selective Serotonin Reuptake Inhibitor,Depression,Tablet,20 mg,Oral,Inhibits serotonin reuptake,Nausea, Insomnia,Monoamine oxidase inhibitors: serotonin syndrome risk,Avoid alcohol,Category C,Room temperature,EmotionEase,03-04-2022,Prescription,12345678923,5.99
29,Metoprolol,Metoprolol,Beta Blocker,Hypertension,Tablet,25 mg,Oral,Blocks beta receptors,Low heart rate, Low blood pressure,Asthma: avoid or use with caution,Do not stop abruptly,Category C,Room temperature,HeartCare,15-09-2021,Prescription,23456789034,7.25
30,Venlafaxine,Venlafaxine,Selective Serotonin-Norepinephrine Reuptake Inhibitor,Depression,Capsule,75 mg,Oral,Inhibits serotonin and norepinephrine reuptake,Nausea, Insomnia,Monoamine oxidase inhibitors: serotonin syndrome risk,Avoid alcohol,Category C,Room temperature,MoodEase,28-02-2022,Prescription,34567890145,9.5
31,Methylphenidate,Methylphenidate,Stimulant,Attention Deficit Hyperactivity Disorder,Tablet,10 mg,Oral,Increases norepinephrine and dopamine release,Insomnia, Increased heart rate,Hypertension: monitor regularly,May impair judgment,Category C,Room temperature,FocusMeds,25-10-2021,Prescription,45678901256,8.75
32,Rosuvastatin,Rosuvastatin,Cholesterol-lowering,Hyperlipidemia,Tablet,20 mg,Oral,Inhibits cholesterol synthesis,Muscle pain, Liver problems,Strong CYP3A4 inhibitors: increased risk of side effects,Avoid grapefruit juice,Category X,Room temperature,PharmaCare,10-11-2021,Prescription,56789012367,7.99
